,Rank,COE_score,Farm,weight_(lbs.),High_bid,Total_value,Company,Farmer/Rep.,Altitude,Country,Year,City,Region,Coffee_characteristics,Flavor,Acidity,Process,Variety,Coffee Growing Area,Farm_size
0,1,89.28,Pantan Musara,462.97,$80.00 ,"$37,037.60 ",Wataru for YAMATOYA COFFEE,Dilen Ali Gogo,1650,Indonesia,2021,,,"Black Tea, Brown Spice, Clove, Cranberry, Lingering, Silky","Peach, Black Currant, Black Tea , Brown Sugar, Plum, Apple, Apricot, Berry, Cacao Nibs, Cherry, Citrus, Cranberry, Honeydew, Jasmine, Lemon, Malt, Muscat, Nectarine, Passion Fruit, Prune, Red Grape, Vanilla","Bright, Citric, Malic, Structural, Sweet, Vibrant",Honey,"Ateng, Bourbon, P88",,1.5 ha
1,2,89.04,Ibun Ita,410.06,$65.20 ,"$26,735.91 ",Proud Mary Coffee Roasters,Ita Rosita,1480,Indonesia,2021,,,"Black Cherry, Coating, Creamy, Mandarin Orange, Red Apple","Raspberry, Sweet, Apricot, Bakers Chocolate, Balanced, Bittersweet Chocolate, Black Currant, Brown Spice, Brown Sugar, Candy, Caramel, Cherry, Cocoa, Golden Raisin, Lime, Mango, Maple Syrup, Nut, Pink Lemonade, Pipe Tobacco, Plum, Red Currant, Soft, Strawberry, Tropical Fruit","Crisp, Malic Acid, Bright, Citric, Green Apple, Lime, Stone Fruit",Natural,Sigararutang,,4000 m2
2,3,88.89,Pantan Musara,577.61,$69.10 ,"$39,912.85 ",Terarosa (Haksan Co. Ltd),Roberto Bagus Syahputra,1700,Indonesia,2021,,,"Apricot, Cooled well, Juicy, Key Lime pie","Cranberry, Brown Spice, Cherry, Floral, Passion Fruit, Plum, Raspberry, Cedar, Cola, Dark Chocolate, Dried Dates, Grape, Hibiscus, Honeydew, Jasmine, Lemongrass, Mandarin Orange, Mango, Melon, Milk Chocolate, Molasses, Prune, Raisin, Tamarind","Bright, Citric Acid, Complex, Green Apple, Malic Acid, Fruit acid",Washed,Ateng & P88,,2 ha
3,4,88.75,Ijen Lestari,791.46,$35.20 ,"$27,860.80 ",SUPREMO COFFEE,Dandy Darmawan,1550,Indonesia,2021,,,"Bubblegum, Clove, Intense Flavors, Wild","Cacao Nibs, Dried Fig, Black Cherry, Dark Chocolate, Prune, Strawberry, Apricot, Bittersweet Chocolate, Black rum, Blueberry, Candy, Cantaloupe, Cinnamon, Guava, Honeydew, Jackfruit, Kiwi, Lime, Mango, Molasses Syrup, Peach, Pineapple, Plum, Raspberry, Rum, Stewed fruit, Sweet","Tropical Fruit, Bright, Complex, Green Apple, Fruit acid",Natural,USDA & Colombia Brazil,,3 ha
4,5,88.58,Ibun Yudi,454.15,$25.10 ,"$11,399.17 ",Latorre&Dutch (China) for Cut Hand Group（剁手咖啡群）/ Gee Coffee,Yudi,1350,Indonesia,2021,,,"Banana, Tropical Fruit","Cacao Nibs, Caramel, Cherry, Raspberry, Apricot, Banana, Blackberry, Blood orange, Chocolate, Dried Dates, Floral, Ginger, Grape jelly, Hibiscus, Jasmine, Lavender, Lime, Mango, Papaya, Peach, Pink Lemonade, Pomegranate, Red Grape, Tamarind, Vanilla","Bright, Citric Acid, Malic Acid, Red Currant",Natural,"Ateng, Sigararutang, S-795",,4000 m2
5,6,88.49,Koperasi Koerintji Barokah,454.15,$21.70 ,"$9,855.06 ","MARISSTELLA COFFEE, INTELLIGENTSIA, RYANS COFFEE ROASTERS",Triyono,1450,Indonesia,2021,,,"Crisp finish, Dense, Floral, Green Apple, Malic Acid","Jasmine, Lime, Almond, Apple, Apricot, Bakers Chocolate, Black Tea, Blackberry, Caramel, Floral, Green Apple, Green Grape, Honey, Lemon & Lime, Lychee, Orange, Peach, Pineapple, Raspberry, Red Currant, Strawberry, Sweet","Bright, Balanced acidity, Citric Acid, Malic Acid, Sparkling",Honey,"Sigararutang, Bourbon, S-795, Andungsari",,1 ha
6,7,88.46,Avatara Gayo,480.61,$45.20 ,"21,723.57",Blue Bottle Coffee,Drs Hamdan,1700,Indonesia,2021,,,Tamarind,"Black Tea, Green Apple, Melon, Passion Fruit, Banana, Brown Sugar, Cherry, Citrus, Cranberry, Floral, Hibiscus, Honeydew, Jammy, Jasmine Honeysuckle, Kiwi, Lemon & Lime, Lime, Lychee, Meyer Lemon, Mint, Nectarine, Orange Blossom, Peach, Pineapple, Plum, Raspberry, Red Currant, Red forest fruit, Tamarind, White Grape","Citric, Citrus, Complex, Juicy, Orange, Tropical Fruit",Natural,"Ateng, Sigararutang, Typica, Caturra, P-88",,10 ha
7,8,88.3,Kamojang,447.54,$19.20 ,"8,592.77","MUSEO Co., Ltd. // wondumyungga cafe de Jura alacarte // liike coffee",Ahmad Vansyu,1300,Indonesia,2021,,,"Black Tea, Clean, Consistent, Creamy, Crisp finish, Strawberry","Brown Sugar, Almond, Mandarin Orange, Peach, Apple, Banana, Bergamot, Black Tea, Blood orange, Brown Spice, Caramel, Cardamom, Cinnamon, Floral, Flower, Honey, Malt, Milk Chocolate, Nut, Orange, Panela, Strawberry, Sweet lime, Vanilla","Apple, Bright, Citric Acid, Malic Acid, Structured, Sweet",Washed,"Ateng, Sigararutang, Typica, S-795, Andungsari",,1 ha
8,9,88.25,Topidi,416.67,$24.30 ,"10,125.08","Orsir Coffee Co., Ltd.",Daeng Halim,1428,Indonesia,2021,,,Papaya,"Caramel, Grape, Red Apple, Banana, Black Currant, Blackberry, Citric Acid, Green Apple, Hibiscus, Honey, Lemongrass, Malty, Mandarin Orange, Milk Chocolate, Peach, Red Berry, Red Currant, Strawberry, Sweet","Bright, Cherry, Citric Acid, Complex, Malic, Sparkling",Washed,Typica,,1 ha
9,10,88.15,Lereng Gunung Argopuro Krucil,427.7,$24.20 ,"10,350.34",Herd Coffee Roaster. CARA Instant Coffee. Beska Beans. Mokka Coffee Roaster. Alliance for Coffee Excellence. Coffee Cherry. Coffee Drxx & Bean2Cup,Dinul Haq Sabyli,1200,Indonesia,2021,,,"Bakers Chocolate, Raspberry, Wild","Orange, Brown Sugar, Dark Chocolate, Strawberry, Apple, Berry, Blueberry, Brown Spice, Cacao Nibs, Chocolate, Cinnamon, Citric Acid, Cream, Floral, Fruity, Lime, Mango, Maple Syrup, Muscat, Papaya, Raisin, Raspberry, Rum, Vanilla","Bright, Malic Acid, Red Currant, Sweet",Natural,"Sigararrutang, Typica, Lini-S USDA",,20 patok
10,11,88.14,Topidi,462.97,$18.60 ,"8,611.24","Wataru & Co., Ltd.",Daeng Balengkang,1376,Indonesia,2021,,,"Cools Well, Floral, Sweet Bread Pastry, Tea like","Floral, Brown Sugar, Banana, Black Tea, Brown Spice, Delicate, Grape, Green Apple, Honey, Jasmine, Lemon & Lime, Malt, Nutmeg, Nutty, Orange, Papaya, Peach, Red Apple, Strawberry, Sweet","Malic Acid, Apple, Citric Acid, Grapefruit, Orange, Sparkling",Natural,Typica,,1 ha
11,12,88.05,PT Sulotco Jaya Abadi,462.97,$19.30 ,"8,935.32","Tashiro Coffee Co., Ltd",Samuel Karundeng,1550,Indonesia,2021,,,"Dried Dates, Guava, Juicy, Milk Chocolate","Brown Sugar, Caramel, Almond, Apple, Apricot, Bakers Chocolate, Black Tea, Brown Spice, Cardamon Caraway, Cherry, Cinnamon, Citric, Cocoa, Cream, Honey, Jasmine, Lavender, Lemon, Lime, Malty, Milk, Molasses Syrup, Orange, Peach, Red Currant, Strawberry, Sweet citric","Citric Acid, Grapefruit, Lime, Malic Acid",Washed,S-795 & USDA,,1200 ha
12,13,87.88,Malabar Mountain Coffee,346.13,$32.20 ,"$11,145.39 ",Cometeer,Muhammad Irwan,1600,Indonesia,2021,,,"Cream, Orange, Slick","Caramel, Floral, Orange, Apple, Honey, Apricot, Banana, Blood orange, Butter, Delicate, Ginger, Jasmine, Lemon, Lime, Nut, Papaya, Peach, Red Apple, Spicy, Sweet & Sugary","Bright, Citric Acid, Malic Acid, Orange, Pineapple, Yuzu",Natural,"Ateng, Sigararutang, Typica, Caturra, S-795",,50 ha
13,14,87.76,Baru Dadap Petak 46,522.5,$22.60 ,"$11,808.50 ",Kopikina Coffee Roaster,Saeful Hadi,1500,Indonesia,2021,,,Dense,"Grape, Black Currant, Black Tea, Clove, Concord Grape, Dark Chocolate, Grapefruit, Green Apple, Green Tea, Jammy, Lime, Mandarin Orange, Melon, Molasses, Orange, Peach, Pear, Plum, Red Apple, Rose, Slight flowery","Black Tea, Citric Acid, Crisp, Malic Acid, Tartaric",Washed,Typica,,7800 m²
14,15,87.72,Ketapanrame,456.36,$25.30 ,"$11,545.91 ",Curve Specialty coffee Roastery,Wardoyo,1200,Indonesia,2021,,,"Dense, Juicy, Rhubarb, Strawberry","Peach, Bittersweet Chocolate, Apple, Apricot, Black Currant, Blackberry, Burnt Sugar, Caramel, Citrus, Dark Chocolate, Grape, Green Apple, Jasmine, Lemon, Lemonade, Lime, Mango, Melon, Nectarine, Pineapple, Raspberry, Star Fruit, Tamarind","Complex, Grapefruit, Juicy, Malic Acid, Peach, Transparent",Natural,Typica & P-88,,3 ha
15,16,87.71,Sukaramai,407.86,$21.90 ,"$8,932.13 ",TAKAMURA COFFEE ROASTERS,Sabarwin,1400,Indonesia,2021,,,"Lingering, Silky, Strawberry","Brown Sugar, Floral, Apple, Blackberry, Blueberry, Burnt Sugar, Cherry, Citrus, Clove, Green Apple, Honey, Jasmine, Lemon & Lime, Nut, Peach, Pear, Red Berry, Tropical fruits","Citric Acid, Cherry, Citric, Juicy, Lively, Orange, Syrupy",Wet Hull,Ateng Sigararutang,,1.5 ha
16,17,87.69,Batukaang,429.9,$19.00 ,"$8,168.10 ","Wataru & Co., Ltd.",I Wayan Parum,1300,Indonesia,2021,,,"Bergamot, Black Tea, Coating, Grippy","Lavender, Melon, Orange, Rose Hips, Apple, Black Currant, Black Tea, Blueberry, Brown Spice, Cane Sugar, Cherry, Citron, Cranberry, Dark Chocolate, Floral, Green Apple, Jasmine, Mandarin Orange, Sweet, Syrupy","Malic Acid, Citric Acid, Green Apple, Tartaric",Natural,S-795 & Cobra,,12.500 m2
17,18,87.68,Angin-angin,462.97,$20.10 ,"$9,305.70 ",Seng Pan Coffee. Mimosa Coffee. SCAI. Herd Coffee Roaster. Idle Hands Coffee Roasters. Mokka Coffee Roaster,Indo Pole,1515,Indonesia,2021,,,"Graham Cracker, Milk Chocolate","Apricot, Brown Sugar, Caramel, Cherry, Black Tea, Brown Spice, Chocolate, Clove, Complex, Creamy, Floral, Green Apple, Honey, Lemon & Lime, Nectarine, Peach, Pipe Tobacco, Plum, Snow Pea","Black Tea, Complex, Malic Acid",Natural,S-795,,3 ha
18,19,87.62,Gravfarm Sukaratu,520.29,$19.20 ,"$9,989.57 ","Wataru & Co., Ltd.",Gravfarm Indonesia,1650,Indonesia,2021,,,"Bittersweet Chocolate, Cherry, Juicy, Milk Chocolate","Apricot, Honey, Papaya, Peach, Strawberry, Apple, Brown Spice, Brown Sugar, Cacao Nibs, Caramel, Cardamon Caraway, Choclate, Cinnamon, Green Apple, Lime, Malt, Melon, Pineapple, Plum, Sweet, Tropical Fruit, Vanilla","Cherry, Malic Acid, Structured",Washed,Sigararutang & S-795,,56 ha
19,20,87.62,Papandayan,478.4,$19.70 ,"$9,424.48 ",Luigi Lavazza S.p.A.,Enung Sumartini,1600,Indonesia,2021,,,"Layered, Melon, Refined","Floral, Milk Chocolate, Black Tea, Caramel, Citric Acid, Clove, Dark Chocolate, Dried Fruit, Lemongrass, Lime zest, Melon, Nut, Orange, Peach, Plum, Raisin, Red Apple, Red Currant, Red pastels","Malic Acid, Citric Acid, Crisp, Orange",Natural,Typica,,2 ha
20,21,87.53,LPE Kelola Agro,476.2,$25.10 ,"$11,952.62 ",MOMOS COFFEE,Setra Yuhana,1700,Indonesia,2021,,,"Milk Chocolate, Silky, Tamarind","Caramel, Bakers Chocolate, Green Apple, Apple, Apricot, Berry, Burnt Sugar, Concord Grape, Grapefruit, Honey, Jasmine, Lemon, Lime, Melon, Orange, Panela, Raisin, Raspberry, Sweet & Sugary","Malic Acid, Bright, Citrus Fruit, Crisp acidity, Nice",Natural,"Andungsari, Sigararutang, S-795",,10 ha
21,22,87.22,Sarongge,462.97,$19.90 ,"$9,213.10 ",elbgold Roestkaffee GmbH,Santoso,1500,Indonesia,2021,,,"Beefy, Crisp finish, Neutral","Peach, Green Apple, Lime, Plum, Bakers Chocolate, Balanced, Balsamic, Black Currant, Brown Sugar, Caramel, Honey, Jasmine, Lavender, Malt, Mandarin Orange, Molasses Syrup, Panela, Pine, Red Currant","Apple, Citric Acid, Citrus, Malic Acid, Red Currant",Washed,"Sigararutang, S-795, Andungsari",,0.8 ha
22,23,87.21,Pantan Musara,454.15,$25.50 ,"$11,580.83 ",Sarutahiko Coffee Inc.,Zakiah,1650,Indonesia,2021,,,"Cranberry, Cream, Quick finish","Milk Chocolate, Almond, Apple, Balanced, Blood orange, Brown Sugar, Caramel, Cocoa, Cranberry, Honey, Lemongrass, Lime, Mandarin Orange, Orange, Peach, Pear, Pomegranate, Red Apple","Bright, Citric Acid, Medium intensity, Sweet",Natural,Ateng & P88,,2 ha
23,24,87.21,Bukit Sama,454.15,$23.00 ,"$10,445.45 ",Wataru for Voila Coffee,Dasimah Hakim,1650,Indonesia,2021,,,"Caramel, Coating","Caramel, Milk Chocolate, Berry, Black Tea, Brown Spice, Cinnamon, Cola, Dark Chocolate, Dried apricot, Dried Fig, Honey, Lime, Molasses, Nutty, Orange, Vibrant","Citric Acid, Crisp, Malic Acid, Multiple fruit acid, Sweet",Wet Hull,Ateng,,3.5 ha
24,25,87.16,Wajamala,478.4,$18.20 ,"$8,706.88 ","Wataru & Co., Ltd.",Marselina Walu,1350,Indonesia,2021,,,"Creamy, Neutral","Peach, Orange, Plum, Apricot, Brown Spice, Burnt Sugar, Carob, Chamomile, Dark Chocolate, Floral, Ginger, Guava, Juicy, Lemon, Mandarin Orange, Muscat, Raspberry","Malic Acid, Orange",Washed,S-795 & Lini-S,,1 ha
25,26,87.1,HT Farm,396.83,$17.60 ,"$6,984.21 ",Blooms Ltd,Mukhlis M,1400,Indonesia,2021,,,"Blueberry, Caramel, Dense, Molasses","Black Currant, Cherry, Balanced, Black Cherry, Brown Sugar, Dried Dates, Floral, Fruity, Green Apple, Malt, Melon, Menthol, Parsley, Plum, Raspberry, Red Grape, Strawberry","Bright, Citric Acid, Malic, Tartaric Acid",Washed,Sigararutang,,1 ha
26,1a,90.59,Koperasi Ribang Gayo Musara,429.9,$40.20 ,"$17,281.98 ",Sulalat Coffee Trading,Bahagia Ginting,,Indonesia,2022,,,,,,Natural,"Ateng 30%, P-88 70%",,
27,1b,90.59,Koperasi Ribang Gayo Musara,396.83,$40.20 ,"$15,952.57 ","Coffee Beyond Borders for Uminomuko Coffee, Xtrat",Bahagia Ginting,,Indonesia,2022,,,,,,Natural,"Ateng 30%, P-88 70%",,
28,2,89.85,Pegasing Takengon Utara,595.25,$20.20 ,"$12,024.05 ",La Boheme Cafe,PT. Biji Kopi Internusa,,Indonesia,2022,,,,,,Natural,"Sigararutang 70%, Typica 30%",,
29,3,89.59,Frinsa Weninggalih,595.25,$26.90 ,"$16,012.23 ","Coffee Beyond Borders for Uminomuko Coffee, Xtrat",Yasmin Nabila Salsabila,,Indonesia,2022,,,,,,Anaerobic Natural,"Sigararutang 16%, S-795 50%, P-88 17%, Bourbon 17%",,
30,4,89.18,Koperasi Ribang Gayo Musara,793.66,$15.20 ,"$12,063.63 ",La Boheme Cafe & Huracan Coffee,Zakiah,,Indonesia,2022,,,,,,Natural,"Ateng 50%, Bourbon 20%, P-88 30%",,
31,5,89.15,Koperasi Ribang Gayo Musara,793.66,$13.50 ,"$10,714.41 ",Kyokuto Fadie Corporation,Dimas Apriandi,,Indonesia,2022,,,,,,Washed,"Ateng 65%, P-88 35%",,
32,6,88.91,Panangan Mata Takengon Utara,562.18,$14.10 ,"$7,926.74 ","Coffee Therapy (Thailand), Coffee Me Up (Korea), Dabov Specialty Coffee (Bulgaria), BIG BLACK BOX (Thailand), Casa Lapin (Thailand), MARISSTELLA COFFEE (Korea)",Christian,,Indonesia,2022,,,,,,Honey,"Sigararutang 70%, Typica 30%",,
33,7,88.68,Koperasi Ribang Gayo Musara,826.73,$19.55 ,"$16,162.57 ",Coffee Beyond Borders for Uminomuko Coffee,Asman Arianto,,Indonesia,2022,,,,,,Honey,"Ateng 50%, Bourbon 20%, P-88 30%",,
34,8,88.5,Koperasi Ribang Gayo Musara,793.66,$10.70 ,"$8,492.16 ",Kyokuto Fadie Corporation,Dilen Ali Gogo,,Indonesia,2022,,,,,,Honey,"Ateng 50%, Bourbon 20%, P-88 30%",,
35,9,88.09,Terang Ulen,562.18,$20.20 ,"$11,356.04 ",Blue Bottle Coffee,Fahman Yoga,,Indonesia,2022,,,,,,Wet Hulled,"Ateng 40%, Typica 20%, Tim-Tim 40%",,
36,10,87.85,"Ceding Ayu, Pantan Musara",562.18,$13.30 ,"$7,476.99 ","Dabov Specialty Coffee, Coffee Therapy (Thailand), Joy Coffee & Cacao",Drs Hamdan,,Indonesia,2022,,,,,,Carbonic Maceration Honey,"Ateng 40%, Typica 20%, Caturra 20%, P-88 20%",,
37,11,87.74,Renggali,694.46,$9.70 ,"$6,736.26 ","Wataru & Co., Ltd.",Hakem Murtada,,Indonesia,2022,,,,,,Wet Hulled,"Ateng 30%, Typica 40%, Yang Lain 30%",,
38,12,87.74,Koerintji Barokah Group,595.25,$20.10 ,"$11,964.53 ",SARUTAHIKO COFFEE,Abdul Aziz Thohari,,Indonesia,2022,,,,,,Lactic Natural,"Sigararutang 70%, Andungsari 30%",,
39,13,87.65,Koerintji Farm,562.18,$14.50 ,"$8,151.61 ",Wataru for Voila Coffee,Ahmad Abi Sodik,,Indonesia,2022,,,,,,Washed,"Sigararutang 70%, Andungsari 30%",,
40,14,87.62,"Ceding Ayu, Pantan Musara",793.66,$14.60 ,"$11,587.44 ",Campos Coffee,Eriyani N,,Indonesia,2022,,,,,,Anaerobic Natural,"Ateng 40%, Typica 20%, Caturra 20%, P-88 20%",,
41,15,87.62,Ijen,1058.2,$10.10 ,"$10,688.02 ",SUPREMO COFFEE,Dandy Dharmawan,,Indonesia,2022,,,,,,Anaerobic Natural,"USDA 80%, Kartika 20%",,
42,16,87.59,Avatara Coffee,562.18,$10.90 ,"$6,127.76 ","UCC UESHIMA COFFEE CO.,LTD",Hendra Maulizar,,Indonesia,2022,,,,,,Washed,"Ateng 25%, Typica 20%, P-88 30%, Yang Lain 25%",,
43,17,87.53,Koperasi Ribang Gayo Musara,793.66,$12.80 ,"$10,158.85 ",honu加藤珈琲店株式会社,Rudi Suwito,,Indonesia,2022,,,,,,Washed,"Ateng 40%, P-88 30%, Gayo 1 30%",,
44,18,87.53,Koperasi Ribang Gayo Musara,793.66,$13.20 ,"$10,476.31 ",TAKAMURA COFFEE ROASTERS By Marukai and Idle Hands Roasting Company,Roberto Bagus Syahputra,,Indonesia,2022,,,,,,Washed,"Ateng 30%, P-88 70%",,
45,19,87.35,Tunas Baru Farm,595.25,$10.10 ,"$6,012.03 ","Coffee Tech Limited (NZ)/coffee-tech.co.nz Upstream Coffee Imports , Marukai corporation ,Slick Coffee Co.",Irwandi,,Indonesia,2022,,,,,,Anaerobic Natural,"Sigararutang 60%, Andungsari 40%",,
46,20,87.15,Dasimah bukit sama,562.18,$9.00 ,"$5,059.62 ","Wataru & Co., Ltd.",Yurda,,Indonesia,2022,,,,,,Honey,Ateng 100%,,
47,21,87.15,Jaya Tani Farm,595.25,$20.10 ,"$11,964.53 ","Coffee Tech Limited (NZ)/coffee-tech.co.nz Cut Hand Group（剁手咖啡群）& Kinglo Coffee（轻乐咖）, Ryans Coffee Roasters , 群果貿易 Cheerbeans trading Co Ltd Taiwan , L’escargot d’or cosmetocafe ,Slick Coffee Co.",Triyono,,Indonesia,2022,,,,,,Anaerobic Natural,"Sigararutang 40%, S-795 50%, Andungsari 10%",,
48,22,87.06,Koperasi Ribang Gayo Musara,826.73,$9.70 ,"$8,019.28 ","Wataru & Co., Ltd.",Victor Nopriansyah,,Indonesia,2022,,,,,,Washed,Ateng,,